# started on Sun Oct  9 05:29:28 2022

2780018.91,msec,task-clock,2780018906271,100.00,2.086,CPUs utilized
12562763612822,,cycles,1741631738225,62.60,4.519,GHz
18333037096915,,instructions,1741726183460,62.61,1.46,insn per cycle
,,,,,0.00,stalled cycles per insn
12627337,,context-switches,2780018906271,100.00,4.542,K/sec
30663,,cpu-migrations,2780018906271,100.00,11.030,/sec
37629316,,page-faults,2780018906271,100.00,13.536,K/sec
26066068014,,stalled-cycles-frontend,1742640597571,62.64,0.21,frontend cycles idle
88414288699,,stalled-cycles-backend,1742235240136,62.62,0.70,backend cycles idle
3688165892459,,branches,1742169075470,62.61,1.327,G/sec
35227974860,,branch-misses,1740637258019,62.57,0.96,of all branches
517318844378,,cache-references,1740904304916,62.58,186.085,M/sec
120505415099,,cache-misses,1740649902008,62.57,23.294,of all cache refs
1332910772263,ns,duration_time,1332910772263,100.00,479.461,M/sec
