# started on Sun Oct  9 05:14:32 2022

3455774.06,msec,task-clock,3455774056327,100.00,2.187,CPUs utilized
12376359692308,,cycles,2164405115178,62.58,3.581,GHz
18326706798471,,instructions,2165044257538,62.59,1.48,insn per cycle
,,,,,0.00,stalled cycles per insn
13059559,,context-switches,3455774056327,100.00,3.779,K/sec
19688,,cpu-migrations,3455774056327,100.00,5.697,/sec
37749178,,page-faults,3455774056327,100.00,10.924,K/sec
27748040803,,stalled-cycles-frontend,2165625390523,62.61,0.22,frontend cycles idle
86300011566,,stalled-cycles-backend,2165749657610,62.60,0.70,backend cycles idle
3682546260782,,branches,2165927900278,62.61,1.066,G/sec
29769390621,,branch-misses,2166165807940,62.62,0.81,of all branches
506920697504,,cache-references,2165929890128,62.62,146.688,M/sec
120094034920,,cache-misses,2164884123435,62.58,23.691,of all cache refs
1580190363383,ns,duration_time,1580190363383,100.00,457.261,M/sec
